 time   Mgal      M*       MWD     MBHNS    Msub     Mgas     Zgas   <Z*>mass <Z*>Lbol
    1 .100E+01 .100E+01 .000E+00 .000E+00 .000E+00 .000E+00 .000E+00 .800E-03 .800E-03
    5 .100E+01 .987E+00 .000E+00 .135E-02 .000E+00 .118E-01 .201E+00 .800E-03 .800E-03
   10 .100E+01 .968E+00 .000E+00 .281E-02 .000E+00 .296E-01 .201E+00 .800E-03 .800E-03
   15 .100E+01 .956E+00 .000E+00 .395E-02 .000E+00 .401E-01 .178E+00 .800E-03 .800E-03
   20 .100E+01 .948E+00 .000E+00 .484E-02 .000E+00 .476E-01 .160E+00 .800E-03 .800E-03
   25 .100E+01 .941E+00 .000E+00 .563E-02 .000E+00 .536E-01 .147E+00 .800E-03 .800E-03
   30 .100E+01 .935E+00 .000E+00 .637E-02 .000E+00 .586E-01 .138E+00 .800E-03 .800E-03
   35 .100E+01 .930E+00 .000E+00 .708E-02 .000E+00 .631E-01 .132E+00 .800E-03 .800E-03
   40 .100E+01 .925E+00 .000E+00 .775E-02 .000E+00 .669E-01 .127E+00 .800E-03 .800E-03
   45 .100E+01 .921E+00 .000E+00 .841E-02 .000E+00 .704E-01 .123E+00 .800E-03 .800E-03
   50 .100E+01 .917E+00 .000E+00 .906E-02 .000E+00 .736E-01 .119E+00 .800E-03 .800E-03
   55 .100E+01 .914E+00 .856E-04 .962E-02 .000E+00 .765E-01 .117E+00 .800E-03 .800E-03
   60 .100E+01 .911E+00 .507E-03 .979E-02 .000E+00 .792E-01 .114E+00 .800E-03 .800E-03
   65 .100E+01 .908E+00 .914E-03 .996E-02 .000E+00 .816E-01 .112E+00 .800E-03 .800E-03
   70 .100E+01 .905E+00 .131E-02 .101E-01 .000E+00 .839E-01 .110E+00 .800E-03 .800E-03
   75 .100E+01 .902E+00 .170E-02 .103E-01 .000E+00 .861E-01 .108E+00 .800E-03 .800E-03
   80 .100E+01 .899E+00 .219E-02 .103E-01 .000E+00 .881E-01 .106E+00 .800E-03 .800E-03
   85 .100E+01 .897E+00 .271E-02 .103E-01 .000E+00 .901E-01 .104E+00 .800E-03 .800E-03
   90 .100E+01 .894E+00 .321E-02 .103E-01 .000E+00 .920E-01 .103E+00 .800E-03 .800E-03
   95 .100E+01 .892E+00 .370E-02 .103E-01 .000E+00 .938E-01 .101E+00 .800E-03 .800E-03
  100 .100E+01 .890E+00 .418E-02 .103E-01 .000E+00 .956E-01 .997E-01 .800E-03 .800E-03
  105 .100E+01 .888E+00 .460E-02 .103E-01 .000E+00 .971E-01 .984E-01 .800E-03 .800E-03
  110 .100E+01 .886E+00 .504E-02 .103E-01 .000E+00 .986E-01 .970E-01 .800E-03 .800E-03
  115 .100E+01 .884E+00 .546E-02 .103E-01 .000E+00 .100E+00 .958E-01 .800E-03 .800E-03
  120 .100E+01 .882E+00 .587E-02 .103E-01 .000E+00 .102E+00 .946E-01 .800E-03 .800E-03
  125 .100E+01 .880E+00 .628E-02 .103E-01 .000E+00 .103E+00 .935E-01 .800E-03 .800E-03
  130 .100E+01 .879E+00 .668E-02 .103E-01 .000E+00 .104E+00 .925E-01 .800E-03 .800E-03
  135 .100E+01 .877E+00 .707E-02 .103E-01 .000E+00 .106E+00 .915E-01 .800E-03 .800E-03
  140 .100E+01 .875E+00 .746E-02 .103E-01 .000E+00 .107E+00 .905E-01 .800E-03 .800E-03
  145 .100E+01 .874E+00 .784E-02 .103E-01 .000E+00 .108E+00 .897E-01 .800E-03 .800E-03
  150 .100E+01 .872E+00 .822E-02 .103E-01 .000E+00 .109E+00 .888E-01 .800E-03 .800E-03
  155 .100E+01 .871E+00 .859E-02 .103E-01 .000E+00 .111E+00 .880E-01 .800E-03 .800E-03
  160 .100E+01 .869E+00 .895E-02 .103E-01 .000E+00 .112E+00 .872E-01 .800E-03 .800E-03
  165 .100E+01 .868E+00 .931E-02 .103E-01 .000E+00 .113E+00 .865E-01 .800E-03 .800E-03
  170 .100E+01 .866E+00 .965E-02 .103E-01 .000E+00 .114E+00 .858E-01 .800E-03 .800E-03
  175 .100E+01 .865E+00 .998E-02 .103E-01 .000E+00 .115E+00 .852E-01 .800E-03 .800E-03
  180 .100E+01 .864E+00 .103E-01 .103E-01 .000E+00 .116E+00 .846E-01 .800E-03 .800E-03
  185 .100E+01 .862E+00 .106E-01 .103E-01 .000E+00 .117E+00 .840E-01 .800E-03 .800E-03
  190 .100E+01 .861E+00 .109E-01 .103E-01 .000E+00 .118E+00 .834E-01 .800E-03 .800E-03
  195 .100E+01 .860E+00 .113E-01 .103E-01 .000E+00 .119E+00 .829E-01 .800E-03 .800E-03
  200 .100E+01 .859E+00 .116E-01 .103E-01 .000E+00 .120E+00 .824E-01 .800E-03 .800E-03
  205 .100E+01 .857E+00 .119E-01 .103E-01 .000E+00 .120E+00 .819E-01 .800E-03 .800E-03
  210 .100E+01 .856E+00 .122E-01 .103E-01 .000E+00 .121E+00 .814E-01 .800E-03 .800E-03
  215 .100E+01 .855E+00 .124E-01 .103E-01 .000E+00 .122E+00 .809E-01 .800E-03 .800E-03
  220 .100E+01 .854E+00 .127E-01 .103E-01 .000E+00 .123E+00 .804E-01 .800E-03 .800E-03
  225 .100E+01 .853E+00 .130E-01 .103E-01 .000E+00 .124E+00 .800E-01 .800E-03 .800E-03
  230 .100E+01 .852E+00 .133E-01 .103E-01 .000E+00 .125E+00 .796E-01 .800E-03 .800E-03
  235 .100E+01 .851E+00 .136E-01 .103E-01 .000E+00 .125E+00 .792E-01 .800E-03 .800E-03
  240 .100E+01 .850E+00 .139E-01 .103E-01 .000E+00 .126E+00 .788E-01 .800E-03 .800E-03
  245 .100E+01 .849E+00 .141E-01 .103E-01 .000E+00 .127E+00 .784E-01 .800E-03 .800E-03
  250 .100E+01 .848E+00 .144E-01 .103E-01 .000E+00 .128E+00 .780E-01 .800E-03 .800E-03
  255 .100E+01 .847E+00 .147E-01 .103E-01 .000E+00 .128E+00 .776E-01 .800E-03 .800E-03
  260 .100E+01 .846E+00 .149E-01 .103E-01 .000E+00 .129E+00 .772E-01 .800E-03 .800E-03
  265 .100E+01 .845E+00 .152E-01 .103E-01 .000E+00 .130E+00 .769E-01 .800E-03 .800E-03
  270 .100E+01 .844E+00 .154E-01 .103E-01 .000E+00 .131E+00 .766E-01 .800E-03 .800E-03
  275 .100E+01 .843E+00 .157E-01 .103E-01 .000E+00 .131E+00 .762E-01 .800E-03 .800E-03
  280 .100E+01 .842E+00 .160E-01 .103E-01 .000E+00 .132E+00 .759E-01 .800E-03 .800E-03
  285 .100E+01 .841E+00 .162E-01 .103E-01 .000E+00 .133E+00 .756E-01 .800E-03 .800E-03
  290 .100E+01 .840E+00 .165E-01 .103E-01 .000E+00 .133E+00 .753E-01 .800E-03 .800E-03
  295 .100E+01 .839E+00 .167E-01 .103E-01 .000E+00 .134E+00 .750E-01 .800E-03 .800E-03
  300 .100E+01 .838E+00 .169E-01 .103E-01 .000E+00 .135E+00 .747E-01 .800E-03 .800E-03
  305 .100E+01 .837E+00 .172E-01 .103E-01 .000E+00 .135E+00 .744E-01 .800E-03 .800E-03
  310 .100E+01 .836E+00 .174E-01 .103E-01 .000E+00 .136E+00 .741E-01 .800E-03 .800E-03
  315 .100E+01 .835E+00 .176E-01 .103E-01 .000E+00 .137E+00 .738E-01 .800E-03 .800E-03
  320 .100E+01 .835E+00 .179E-01 .103E-01 .000E+00 .137E+00 .736E-01 .800E-03 .800E-03
  325 .100E+01 .834E+00 .181E-01 .103E-01 .000E+00 .138E+00 .733E-01 .800E-03 .800E-03
  330 .100E+01 .833E+00 .183E-01 .103E-01 .000E+00 .138E+00 .731E-01 .800E-03 .800E-03
  335 .100E+01 .832E+00 .185E-01 .103E-01 .000E+00 .139E+00 .728E-01 .800E-03 .800E-03
  340 .100E+01 .831E+00 .187E-01 .103E-01 .000E+00 .140E+00 .726E-01 .800E-03 .800E-03
  345 .100E+01 .831E+00 .190E-01 .103E-01 .000E+00 .140E+00 .724E-01 .800E-03 .800E-03
  350 .100E+01 .830E+00 .192E-01 .103E-01 .000E+00 .141E+00 .721E-01 .800E-03 .800E-03
  355 .100E+01 .829E+00 .194E-01 .103E-01 .000E+00 .141E+00 .719E-01 .800E-03 .800E-03
  360 .100E+01 .828E+00 .196E-01 .103E-01 .000E+00 .142E+00 .717E-01 .800E-03 .800E-03
  365 .100E+01 .828E+00 .198E-01 .103E-01 .000E+00 .142E+00 .715E-01 .800E-03 .800E-03
  370 .100E+01 .827E+00 .200E-01 .103E-01 .000E+00 .143E+00 .713E-01 .800E-03 .800E-03
  375 .100E+01 .826E+00 .202E-01 .103E-01 .000E+00 .143E+00 .711E-01 .800E-03 .800E-03
  380 .100E+01 .825E+00 .204E-01 .103E-01 .000E+00 .144E+00 .709E-01 .800E-03 .800E-03
  385 .100E+01 .825E+00 .206E-01 .103E-01 .000E+00 .144E+00 .707E-01 .800E-03 .800E-03
  390 .100E+01 .824E+00 .208E-01 .103E-01 .000E+00 .145E+00 .705E-01 .800E-03 .800E-03
  395 .100E+01 .823E+00 .210E-01 .103E-01 .000E+00 .145E+00 .703E-01 .800E-03 .800E-03
  400 .100E+01 .823E+00 .212E-01 .103E-01 .000E+00 .146E+00 .701E-01 .800E-03 .800E-03
  405 .100E+01 .822E+00 .213E-01 .103E-01 .000E+00 .146E+00 .699E-01 .800E-03 .800E-03
  410 .100E+01 .821E+00 .215E-01 .103E-01 .000E+00 .147E+00 .697E-01 .800E-03 .800E-03
  415 .100E+01 .821E+00 .217E-01 .103E-01 .000E+00 .147E+00 .696E-01 .800E-03 .800E-03
  420 .100E+01 .820E+00 .219E-01 .103E-01 .000E+00 .148E+00 .694E-01 .800E-03 .800E-03
  425 .100E+01 .819E+00 .221E-01 .103E-01 .000E+00 .148E+00 .692E-01 .800E-03 .800E-03
  430 .100E+01 .819E+00 .223E-01 .103E-01 .000E+00 .149E+00 .691E-01 .800E-03 .800E-03
  435 .100E+01 .818E+00 .224E-01 .103E-01 .000E+00 .149E+00 .689E-01 .800E-03 .800E-03
  440 .100E+01 .817E+00 .226E-01 .103E-01 .000E+00 .150E+00 .687E-01 .800E-03 .800E-03
