#	Z	Age		mbol    U       B       V       R       I       J       H       K
	0.0001	3.98e+06	-2.655	-0.785	0.042	0.158	0.152	0.128	0.098	-0.018	-0.029
	0.0001	4.07e+06	-2.611	-0.737	0.117	0.262	0.282	0.292	0.326	0.247	0.249
	0.0001	4.17e+06	-2.566	-0.679	0.209	0.378	0.418	0.455	0.540	0.487	0.500
	0.0001	4.27e+06	-2.524	-0.632	0.282	0.475	0.537	0.605	0.757	0.745	0.774
	0.0001	4.37e+06	-2.480	-0.564	0.390	0.603	0.680	0.768	0.964	0.971	1.010
	0.0001	4.47e+06	-2.438	-0.502	0.488	0.720	0.811	0.921	1.164	1.196	1.247
	0.0001	4.57e+06	-2.394	-0.440	0.578	0.823	0.924	1.047	1.317	1.362	1.421
	0.0001	4.68e+06	-2.351	-0.390	0.642	0.893	0.998	1.127	1.411	1.462	1.525
	0.0001	4.79e+06	-2.309	-0.350	0.686	0.939	1.046	1.177	1.465	1.518	1.581
	0.0001	4.90e+06	-2.265	-0.306	0.735	0.990	1.098	1.230	1.522	1.575	1.640
	0.0001	5.01e+06	-2.223	-0.264	0.782	1.039	1.149	1.284	1.580	1.636	1.702
	0.0001	5.13e+06	-2.182	-0.226	0.822	1.081	1.191	1.328	1.627	1.684	1.751
	0.0001	5.25e+06	-2.139	-0.188	0.861	1.121	1.233	1.371	1.672	1.731	1.798
	0.0001	5.37e+06	-2.095	-0.150	0.901	1.162	1.275	1.413	1.717	1.777	1.845
	0.0001	5.50e+06	-2.056	-0.124	0.924	1.185	1.296	1.435	1.737	1.796	1.863
	0.0001	5.62e+06	-2.015	-0.094	0.952	1.211	1.322	1.459	1.759	1.817	1.883
	0.0001	5.75e+06	-1.973	-0.063	0.981	1.239	1.350	1.486	1.784	1.840	1.906
	0.0001	5.89e+06	-1.930	-0.028	1.015	1.273	1.383	1.519	1.814	1.869	1.934
	0.0001	6.03e+06	-1.892	-0.000	1.043	1.300	1.410	1.546	1.843	1.898	1.963
	0.0001	6.17e+06	-1.854	0.026	1.067	1.323	1.433	1.569	1.864	1.918	1.983
	0.0001	6.31e+06	-1.814	0.054	1.093	1.349	1.459	1.593	1.887	1.940	2.004
	0.0001	6.46e+06	-1.774	0.086	1.124	1.379	1.488	1.622	1.914	1.967	2.030
	0.0001	6.61e+06	-1.732	0.122	1.159	1.414	1.522	1.656	1.946	1.998	2.061
	0.0001	6.76e+06	-1.691	0.160	1.199	1.455	1.565	1.700	1.993	2.047	2.111
	0.0001	6.92e+06	-1.653	0.193	1.233	1.490	1.600	1.737	2.034	2.091	2.155
	0.0001	7.08e+06	-1.613	0.227	1.269	1.526	1.637	1.775	2.075	2.133	2.198
	0.0001	7.24e+06	-1.577	0.254	1.296	1.553	1.665	1.803	2.105	2.163	2.228
	0.0001	7.41e+06	-1.540	0.280	1.322	1.579	1.690	1.829	2.130	2.188	2.254
	0.0001	7.59e+06	-1.504	0.308	1.348	1.605	1.716	1.855	2.156	2.214	2.280
	0.0001	7.76e+06	-1.465	0.337	1.376	1.633	1.745	1.883	2.185	2.242	2.308
	0.0001	7.94e+06	-1.426	0.369	1.406	1.662	1.774	1.912	2.213	2.271	2.336
	0.0001	8.13e+06	-1.386	0.401	1.437	1.693	1.804	1.943	2.243	2.300	2.365
	0.0001	8.32e+06	-1.349	0.429	1.463	1.718	1.830	1.968	2.268	2.325	2.390
	0.0001	8.51e+06	-1.314	0.451	1.482	1.737	1.848	1.986	2.285	2.341	2.405
	0.0001	8.71e+06	-1.280	0.475	1.503	1.756	1.867	2.005	2.301	2.357	2.421
	0.0001	8.91e+06	-1.244	0.499	1.524	1.777	1.887	2.024	2.319	2.373	2.437
	0.0001	9.12e+06	-1.208	0.524	1.546	1.797	1.907	2.043	2.336	2.389	2.452
	0.0001	9.33e+06	-1.171	0.551	1.570	1.820	1.929	2.064	2.354	2.406	2.468
	0.0001	9.55e+06	-1.133	0.580	1.595	1.844	1.953	2.086	2.374	2.424	2.486
	0.0001	9.77e+06	-1.094	0.610	1.621	1.869	1.977	2.110	2.394	2.442	2.503
	0.0001	1.00e+07	-1.057	0.638	1.646	1.893	2.001	2.133	2.415	2.461	2.520
	0.0001	1.02e+07	-1.023	0.660	1.664	1.910	2.016	2.146	2.423	2.465	2.523
	0.0001	1.05e+07	-0.989	0.683	1.683	1.927	2.031	2.159	2.430	2.468	2.524
	0.0001	1.07e+07	-0.953	0.708	1.705	1.946	2.049	2.175	2.439	2.469	2.523
	0.0001	1.10e+07	-0.917	0.734	1.727	1.966	2.068	2.191	2.447	2.468	2.519
	0.0001	1.12e+07	-0.881	0.762	1.751	1.990	2.090	2.212	2.464	2.482	2.531
	0.0001	1.15e+07	-0.849	0.785	1.770	2.007	2.106	2.226	2.474	2.488	2.535
	0.0001	1.17e+07	-0.816	0.808	1.790	2.025	2.124	2.242	2.484	2.494	2.539
	0.0001	1.20e+07	-0.783	0.832	1.811	2.044	2.141	2.258	2.495	2.499	2.543
	0.0001	1.23e+07	-0.748	0.858	1.833	2.065	2.161	2.275	2.506	2.504	2.546
	0.0001	1.26e+07	-0.713	0.884	1.854	2.084	2.179	2.291	2.516	2.507	2.547
	0.0001	1.29e+07	-0.677	0.910	1.877	2.105	2.198	2.308	2.526	2.509	2.546
	0.0001	1.32e+07	-0.646	0.930	1.891	2.117	2.209	2.318	2.536	2.523	2.560
	0.0001	1.35e+07	-0.615	0.949	1.905	2.129	2.220	2.327	2.540	2.524	2.560
	0.0001	1.38e+07	-0.584	0.969	1.919	2.141	2.230	2.335	2.543	2.523	2.558
	0.0001	1.41e+07	-0.552	0.990	1.935	2.154	2.242	2.344	2.546	2.522	2.555
	0.0001	1.45e+07	-0.519	1.013	1.952	2.169	2.255	2.355	2.550	2.520	2.551
	0.0001	1.48e+07	-0.485	1.038	1.971	2.186	2.270	2.368	2.556	2.518	2.547
	0.0001	1.51e+07	-0.451	1.063	1.991	2.203	2.285	2.380	2.560	2.513	2.539
	0.0001	1.55e+07	-0.418	1.086	2.009	2.221	2.303	2.398	2.581	2.540	2.567
	0.0001	1.58e+07	-0.389	1.103	2.020	2.229	2.310	2.404	2.583	2.541	2.567
	0.0001	1.62e+07	-0.360	1.120	2.030	2.238	2.317	2.409	2.585	2.540	2.566
	0.0001	1.66e+07	-0.331	1.137	2.041	2.246	2.324	2.414	2.586	2.540	2.565
	0.0001	1.70e+07	-0.302	1.154	2.051	2.254	2.331	2.419	2.587	2.538	2.562
	0.0001	1.74e+07	-0.273	1.171	2.061	2.262	2.337	2.423	2.587	2.536	2.559
	0.0001	1.78e+07	-0.243	1.188	2.071	2.270	2.343	2.427	2.587	2.533	2.555
	0.0001	1.82e+07	-0.212	1.209	2.086	2.283	2.355	2.437	2.592	2.534	2.555
	0.0001	1.86e+07	-0.181	1.230	2.101	2.295	2.366	2.446	2.596	2.534	2.553
	0.0001	1.91e+07	-0.148	1.252	2.117	2.309	2.378	2.456	2.601	2.533	2.551
	0.0001	1.95e+07	-0.119	1.270	2.129	2.319	2.387	2.464	2.608	2.544	2.562
	0.0001	2.00e+07	-0.090	1.287	2.138	2.326	2.392	2.467	2.606	2.539	2.556
	0.0001	2.04e+07	-0.060	1.305	2.149	2.334	2.398	2.469	2.602	2.530	2.546
	0.0001	2.09e+07	-0.030	1.327	2.166	2.348	2.410	2.478	2.604	2.527	2.540
	0.0001	2.14e+07	0.001	1.348	2.181	2.361	2.420	2.485	2.602	2.517	2.528
	0.0001	2.19e+07	0.032	1.371	2.199	2.376	2.435	2.499	2.613	2.524	2.534
	0.0001	2.24e+07	0.060	1.388	2.210	2.386	2.444	2.505	2.615	2.525	2.534
	0.0001	2.29e+07	0.088	1.405	2.222	2.395	2.451	2.511	2.617	2.525	2.534
	0.0001	2.34e+07	0.117	1.424	2.234	2.406	2.460	2.518	2.620	2.526	2.534
	0.0001	2.40e+07	0.146	1.444	2.250	2.419	2.472	2.528	2.626	2.528	2.535
	0.0001	2.45e+07	0.176	1.465	2.266	2.433	2.485	2.538	2.632	2.532	2.538
	0.0001	2.51e+07	0.206	1.486	2.281	2.446	2.496	2.548	2.637	2.533	2.538
	0.0001	2.57e+07	0.235	1.506	2.297	2.461	2.511	2.563	2.654	2.554	2.559
	0.0001	2.63e+07	0.262	1.523	2.309	2.471	2.521	2.572	2.661	2.559	2.564
	0.0001	2.69e+07	0.289	1.541	2.321	2.482	2.530	2.580	2.667	2.565	2.570
	0.0001	2.75e+07	0.316	1.558	2.333	2.493	2.540	2.588	2.673	2.570	2.574
	0.0001	2.82e+07	0.344	1.577	2.347	2.505	2.551	2.599	2.681	2.577	2.581
	0.0001	2.88e+07	0.373	1.599	2.365	2.521	2.567	2.613	2.694	2.589	2.593
	0.0001	2.95e+07	0.402	1.619	2.380	2.535	2.580	2.625	2.703	2.597	2.600
	0.0001	3.02e+07	0.432	1.640	2.396	2.550	2.593	2.637	2.713	2.606	2.608
	0.0001	3.09e+07	0.459	1.658	2.409	2.562	2.606	2.650	2.727	2.623	2.626
	0.0001	3.16e+07	0.486	1.676	2.422	2.573	2.616	2.659	2.734	2.629	2.632
	0.0001	3.24e+07	0.513	1.693	2.434	2.583	2.625	2.667	2.739	2.633	2.636
